[Clicked] Open TCLE Button was clicked.
[EmojiGridHandler] Open EmojiGrid Box.
[FileManager] Data will be saved at: C:/Users/FRANCISCOCabelo/Desktop/Undercooked-master/git/Undercooked/Assets/results/07-08-2024_16-08_levels.csv
[FileManager] Data will be saved at: C:/Users/FRANCISCOCabelo/Desktop/Undercooked-master/git/Undercooked/Assets/results/07-08-2024_16-08_panas.csv
[DatabaseToCsv] Cleaning Level.
[DatabaseToCsv] Starting storage.
[Clicked] Open Sam Button was clicked.
[SamHandler] Open SAM Painel.
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (961,5817)
[DatabaseToCsv] Valence ->>>> (963,1635)
[DatabaseToCsv] Valence ->>>> (966,3269)
[DatabaseToCsv] Valence ->>>> (969,4903)
[DatabaseToCsv] Valence ->>>> (969,4903)
[DatabaseToCsv] Valence ->>>> (969,4903)
[DatabaseToCsv] Valence ->>>> (971,072)
[DatabaseToCsv] Valence ->>>> (972,6537)
[DatabaseToCsv] Valence ->>>> (972,6537)
[DatabaseToCsv] Valence ->>>> (972,6537)
[DatabaseToCsv] Valence ->>>> (972,6537)
[DatabaseToCsv] Valence ->>>> (972,6537)
[DatabaseToCsv] Valence ->>>> (974,2355)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (977,3989)
[DatabaseToCsv] Valence ->>>> (977,3989)
[DatabaseToCsv] Valence ->>>> (977,3989)
[DatabaseToCsv] Valence ->>>> (977,3989)
[DatabaseToCsv] Valence ->>>> (977,3989)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (978,9807)
[DatabaseToCsv] Valence ->>>> (980,5624)
[DatabaseToCsv] Valence ->>>> (980,5624)
[DatabaseToCsv] Valence ->>>> (980,5624)
[DatabaseToCsv] Valence ->>>> (982,1441)
[DatabaseToCsv] Valence ->>>> (982,1441)
[DatabaseToCsv] Valence ->>>> (982,1441)
